evidence_id,project_id,evidence_type,title,source_role,source_identifier,created_at,file_path,readability,authoritative_for,synthetic
EVD-001,CF-DEMO-001,Permit profile,Synthetic City of San Jose permit and inspection-applicability profile,Synthetic project permit,SJ-DEMO-EXT-2026-0142,2026-07-15T09:00:00-07:00,project_evidence/documents/permit_record_demo.txt,Readable,Permit status plan version jurisdiction and inspection applicability only,Yes
EVD-002,CF-DEMO-001,Contractor attestation,Structural or shear or roof-nailing inspection status,Authorized contractor,EVT-1004,2026-08-11T14:35:00-07:00,data/event_log.jsonl,Readable,Contractor-reported inspection status only,Yes
EVD-003,CF-DEMO-001,Contractor event,Framing completion report,Authorized contractor,EVT-1003,2026-08-10T16:20:00-07:00,data/event_log.jsonl,Readable,Contractor-reported framing completion,Yes
EVD-004,CF-DEMO-001,Contractor event,Electrical rough-in progress update,Authorized contractor,EVT-1006,2026-08-12T07:45:00-07:00,data/event_log.jsonl,Readable,Electrical rough-in remains in progress,Yes
EVD-005,CF-DEMO-001,Homeowner event,Framing status dispute,Verified homeowner,EVT-2003H,2026-09-05T18:10:00-07:00,data/event_log.jsonl,Readable,Homeowner source-specific claim only,Yes
EVD-006,CF-DEMO-001,Inspection Register,Synthetic project inspection statuses,Contractor-approved register,INSP-001|INSP-002|INSP-003|INSP-004|INSP-005|INSP-006|INSP-007|INSP-008|INSP-009|INSP-010,2026-08-12T08:00:00-07:00,data/inspection_register.csv,Readable,Contractor-attested inspection status and applicability,Yes
EVD-007,CF-DEMO-001,Schedule event,Drywall expected completion date,Contractor schedule,EVT-2004S,2026-09-20T09:00:00-07:00,data/event_log.jsonl,Readable,Schedule expectation only,Yes
EVD-008,CF-DEMO-001,Change record,Patio-door opening change request,Authorized contractor,CO-001,2026-08-08T15:00:00-07:00,data/change_order_register.csv,Readable,Proposed scope and cost only,Yes
EVD-009,CF-DEMO-001,Contractor attestations,Foundation and underfloor or slab inspection statuses,Authorized contractor,EVT-1002A|EVT-1002B,2026-07-28T13:10:00-07:00,data/event_log.jsonl,Readable,Contractor-reported inspection statuses only,Yes
EVD-010,CF-DEMO-001,Authorization record,Verified synthetic project participants,Contractor project lead,AUTH-CF-DEMO-001,2026-07-15T16:10:00-07:00,data/project_state.json,Readable,Project identity and role authorization,Yes
EVD-011,CF-DEMO-001,Photo metadata,Optional rough-plumbing photo,Authorized contractor,PHOTO-DEMO-011,2026-09-01T16:00:00-07:00,project_evidence/photos/optional_rough_plumbing_photo.txt,Metadata only,Optional support for the reported powder-room subarea only,Yes
EVD-012,CF-DEMO-001,Professional record,Synthetic patio-door revised-detail acceptance,Qualified structural professional,EVT-4018P,2026-10-02T12:15:00-07:00,project_evidence/documents/patio_door_review_demo.txt,Readable,Professional review status for the isolated TR-018 snapshot only,Yes
EVD-013,CF-DEMO-001,Professional event,Synthetic patio-door revised-detail acceptance for TR-017,Qualified structural professional,EVT-4017P,2026-09-17T10:00:00-07:00,data/event_log.jsonl,Readable,Professional review status for the isolated TR-017 snapshot only,Yes
EVD-014,CF-DEMO-001,Contractor attestation,Synthetic Footing/Foundation/Rebar inspection status for TR-007,Authorized contractor,EVT-4007F,2026-07-27T10:00:00-07:00,data/event_log.jsonl,Readable,Contractor-reported inspection status for the isolated TR-007 snapshot only,Yes
EVD-015,CF-DEMO-001,Contractor event,Foundation preparation completion report,Authorized contractor,EVT-1002S,2026-07-26T17:00:00-07:00,data/event_log.jsonl,Readable,Contractor-reported completion of pre-pour construction activities,Yes
