inspection_id,project_id,jurisdiction,permit_id,inspection_name,affected_activity_ids,applicability,inspection_status,attested_by,attested_at,status_source_event_id,status_approval_event_id,correction_status,reinspection_status,homeowner_visible,notes
INSP-001,CF-DEMO-001,City of San Jose,SJ-DEMO-EXT-2026-0142,Footing/Foundation/Rebar,A-006,Applicable,Passed - contractor confirmed,marcus@junipergate.example,2026-07-28T13:05:00-07:00,EVT-1002A,APV-1002A,Not required,Not required,Yes,Contractor-recorded status; CasaFlowAI does not declare City approval
INSP-002,CF-DEMO-001,City of San Jose,SJ-DEMO-EXT-2026-0142,Underfloor/Slab,A-006,Applicable,Passed - contractor confirmed,marcus@junipergate.example,2026-07-28T13:10:00-07:00,EVT-1002B,APV-1002B,Not required,Not required,Yes,Includes applicable under-slab work and vapor or moisture barrier for this synthetic permit
INSP-003,CF-DEMO-001,City of San Jose,SJ-DEMO-EXT-2026-0142,Structural/Shear/Roof-nailing,A-016,Applicable,Passed - contractor confirmed,marcus@junipergate.example,2026-08-11T14:35:00-07:00,EVT-1004,APV-1004,Not required,Not required,Yes,Project-specific synthetic permit inspection
INSP-004,CF-DEMO-001,City of San Jose,SJ-DEMO-EXT-2026-0142,Rough Plumbing,A-016,Applicable,Not scheduled,marcus@junipergate.example,2026-08-12T08:00:00-07:00,EVT-1007,APV-1007,Not required,Not required,Yes,Tracked separately from work completion
INSP-005,CF-DEMO-001,City of San Jose,SJ-DEMO-EXT-2026-0142,Rough Electrical,A-016,Applicable,Not scheduled,marcus@junipergate.example,2026-08-12T08:00:00-07:00,EVT-1007,APV-1007,Not required,Not required,Yes,Tracked separately from work completion
INSP-006,CF-DEMO-001,City of San Jose,SJ-DEMO-EXT-2026-0142,Rough Mechanical/HVAC,A-016,Applicable,Not scheduled,marcus@junipergate.example,2026-08-12T08:00:00-07:00,EVT-1007,APV-1007,Not required,Not required,Yes,Tracked separately from work completion
INSP-007,CF-DEMO-001,City of San Jose,SJ-DEMO-EXT-2026-0142,Rough-frame Release,A-016,Applicable,Not scheduled,marcus@junipergate.example,2026-08-12T08:00:00-07:00,EVT-1007,APV-1007,Not required,Not required,Yes,Final recorded inspection gate before insulation
INSP-008,CF-DEMO-001,City of San Jose,SJ-DEMO-EXT-2026-0142,Insulation/Energy,A-018,Applicable,Not scheduled,marcus@junipergate.example,2026-08-12T08:00:00-07:00,EVT-1007,APV-1007,Not required,Not required,Yes,Required before drywall for this synthetic permit
INSP-009,CF-DEMO-001,City of San Jose,SJ-DEMO-EXT-2026-0142,Fire-rated Assembly/Drywall,A-018,Not applicable,Not applicable,marcus@junipergate.example,2026-07-15T16:10:00-07:00,EVT-1001,APV-1001,Not required,Not required,Yes,Confirmed not applicable rather than missing
INSP-010,CF-DEMO-001,City of San Jose,SJ-DEMO-EXT-2026-0142,Final inspection,A-023,Applicable,Not scheduled,marcus@junipergate.example,2026-08-12T08:00:00-07:00,EVT-1007,APV-1007,Not required,Not required,Yes,Single composite final gate for the MVP
