activity_id,phase,workstream,work_area,activity_name,predecessor_activity_ids,related_decision_ids,related_change_order_ids,related_requirement_ids,required_inspection_ids,dependency_type,parallel_allowed,blocking_scope,exception_allowed,required_authority
A-001,Project setup,Project setup,Project-wide,Project baseline confirmation,None,None,None,None,None,Hard,No,Project-wide,No,Contractor project lead
A-002,Phase 1 - Foundation and Substructure,Foundation and substructure,Extension footprint,Site preparation,A-001,DS-005,None,REQ-001,None,Hard,No,Extension footprint,No,Contractor project lead
A-003,Phase 1 - Foundation and Substructure,Foundation and substructure,Extension footprint,Foundation excavation,A-002,None,None,REQ-001,None,Hard,No,Extension footprint,No,Contractor project lead
A-004,Phase 1 - Foundation and Substructure,Foundation and substructure,Foundation,Foundation formwork,A-003,None,None,REQ-002,None,Hard,No,Foundation,No,Contractor project lead
A-004A,Phase 1 - Foundation and Substructure,Foundation and substructure,Foundation,"Gravel, vapor barrier, and moisture protection",A-004,None,None,REQ-002,None,Hard,No,Foundation,No,Contractor project lead
A-004B,Phase 1 - Foundation and Substructure,Foundation and substructure,Under-slab zones,Under-slab plumbing,A-004A,None,None,REQ-002,None,Hard,No,Under-slab plumbing zones,No,Contractor project lead
A-004C,Phase 1 - Foundation and Substructure,Foundation and substructure,Foundation,Rebar installation,A-004B,None,None,REQ-002,None,Hard,No,Foundation,No,Contractor project lead
A-006,Phase 1 - Foundation and Substructure,Foundation and substructure,Foundation,Concrete pour,A-004|A-004A|A-004B|A-004C,None,None,REQ-001|REQ-002,INSP-001|INSP-002,Hard,No,Foundation,No,Contractor project lead
A-007,Phase 2 - Framing and Building Envelope,Framing and envelope,Extension floor,Floor framing,A-006,None,None,REQ-002,None,Hard,No,Extension floor,No,Contractor project lead
A-008,Phase 2 - Framing and Building Envelope,Framing and envelope,Extension walls,Extension wall framing,A-007,None,None,REQ-002,None,Hard,Yes,Extension walls,No,Contractor project lead
A-009,Phase 2 - Framing and Building Envelope,Framing and envelope,Extension roof,Roof framing,A-008,None,None,REQ-002,None,Hard,Yes,Extension roof,No,Contractor project lead
A-009A,Phase 2 - Framing and Building Envelope,Framing and envelope,Extension walls and roof,Wall and roof sheathing,A-008|A-009,None,None,REQ-002,None,Hard,Yes,Extension walls and roof,No,Contractor project lead
A-011,Phase 2 - Framing and Building Envelope,Framing and envelope,Extension exterior,House wrap and roof underlayment,A-009A,None,None,REQ-002,None,Soft,Yes,Extension exterior,Yes,Contractor project lead
A-011A,Phase 2 - Framing and Building Envelope,Framing and envelope,Exterior openings,Weather-tight exterior milestone with temporary protection at unresolved change areas,A-009A|A-011,None,None,REQ-002,None,Hard,Yes,Exterior openings,No,Contractor project lead
A-012,Phase 3 - Systems Rough-In,Systems rough-in,Extension plumbing zones,Rough plumbing,A-008|A-009|A-009A,None,None,REQ-001|REQ-002,None,Hard,Yes,Extension plumbing zones,No,Contractor project lead
A-013,Phase 3 - Systems Rough-In,Systems rough-in,Extension electrical zones,Electrical rough-in,A-008|A-009|A-009A|A-011A,None,None,REQ-001|REQ-002|REQ-004,None,Hard,Yes,Extension electrical zones,No,Contractor project lead
A-014,Phase 3 - Systems Rough-In,Systems rough-in,Extension HVAC zones,HVAC rough-in,A-008|A-009|A-009A,None,None,REQ-001|REQ-002,None,Hard,Yes,Extension HVAC zones,No,Contractor project lead
A-016,Phase 4 - Interior and Exterior Finishes,Interior and exterior finishes,Extension walls and ceiling,Extension-wall and ceiling insulation,A-012|A-013|A-014,None,None,REQ-003,INSP-003|INSP-004|INSP-005|INSP-006|INSP-007,Hard,No,Extension walls and ceiling,No,Contractor project lead
A-018,Phase 4 - Interior and Exterior Finishes,Interior and exterior finishes,Extension interior,"Drywall - hang, tape, and finish",A-016,None,None,REQ-003,INSP-008|INSP-009,Hard,No,Extension interior,No,Contractor project lead
A-019,Phase 4 - Interior and Exterior Finishes,Interior and exterior finishes,Extension interior,Prime and paint,A-018,DS-004,None,None,None,Hard,Yes,Extension interior,No,Contractor project lead
A-019A,Phase 4 - Interior and Exterior Finishes,Interior and exterior finishes,Extension interior,Flooring installation,A-019,DS-003,None,None,None,Hard,Yes,Extension flooring area,No,Homeowner selection and purchase plus contractor feasibility confirmation
A-019B,Phase 4 - Interior and Exterior Finishes,Interior and exterior finishes,Powder room and plumbing fixtures,Finish plumbing,A-019,DS-006,None,None,None,Hard,Yes,Finish-plumbing area,No,Contractor project lead
A-019C,Phase 4 - Interior and Exterior Finishes,Interior and exterior finishes,Extension electrical fixtures,Finish electrical,A-019,DS-007,None,None,None,Hard,Yes,Finish-electrical area,No,Contractor project lead
A-019D,Phase 4 - Interior and Exterior Finishes,Interior and exterior finishes,Extension interior,"Trim, moldings, and interior doors",A-019|A-011A,None,None,None,None,Hard,Yes,Extension interior,No,Contractor project lead
A-020,Phase 4 - Interior and Exterior Finishes,Interior and exterior finishes,Extension exterior,Exterior siding and finish,A-011|A-011A,DS-002,CO-003,None,None,Hard,Yes,Extension exterior,No,Contractor project lead
A-021,Phase 2 - Framing and Building Envelope,Framing and envelope,Patio-door opening,Patio-door opening and installation,A-008|A-009A,DS-001,CO-001,REQ-007,None,Hard,Yes,Patio-door opening,No,Contractor project lead and qualified professional
A-022,Closeout,Closeout,Project-wide,Final inspection request,A-019|A-019A|A-019B|A-019C|A-019D|A-020|A-021,None,None,REQ-001|REQ-002,None,Hard,No,Project-wide,No,Contractor project lead
A-023,Closeout,Closeout,Project-wide,Homeowner handoff,A-022,None,None,REQ-010,INSP-010,Hard,No,Project-wide,No,Contractor project lead
